Epoch,Loss,Micro_f1,Macro_f1,NMI,ARI,Purity,Silhouette
196,1.0750489791234334,0.8093037584719655,0.7998290659583209,0.1245,0.1165,0.4422,-0.0057
197,1.075190971295039,0.8046826863832409,0.7945892095131563,0.1194,0.1137,0.4496,-0.0089
198,1.0731685221195222,0.8077634011090573,0.7979355427776464,0.1678,0.1360,0.4724,-0.0162
199,1.0744286060333252,0.8034504004929144,0.793027596046605,0.1552,0.1334,0.4618,-0.0086
200,1.0730040351549783,0.8043746149106593,0.7953151446762955,0.1533,0.1435,0.4712,-0.0076
201,1.0715199848016104,0.7954405422057917,0.7860450295170173,0.1928,0.1764,0.5085,-0.0147
202,1.0735703567663828,0.7991373998767715,0.7895838620586463,0.1386,0.1297,0.4648,-0.0031
203,1.070986940463384,0.7966728280961183,0.7876756953928443,0.1614,0.1458,0.4775,-0.0105
204,1.0710604270299275,0.7975970425138632,0.789527034103234,0.1871,0.1625,0.4876,-0.0100
205,1.0720207949479421,0.7997535428219347,0.7920846589232782,0.1787,0.1620,0.4801,-0.0117
206,1.0698536475499472,0.8028342575477511,0.7945355256698026,0.1602,0.1396,0.4615,-0.0005
207,1.069841702779134,0.7963647566235367,0.7860730465874151,0.1449,0.1247,0.4614,-0.0048
208,1.0694592118263244,0.8009858287122612,0.7913053873084627,0.1544,0.1379,0.4596,-0.0109
209,1.0672819912433624,0.8028342575477511,0.7935973229772206,0.2373,0.2191,0.5394,-0.0094
210,1.068185959259669,0.7994454713493531,0.7891532598022002,0.1383,0.1227,0.4395,-0.0099
211,1.0680718660354613,0.7966728280961183,0.7864821677999358,0.2281,0.1988,0.5189,-0.0085
212,1.069203289349874,0.7972889710412816,0.7868305341009061,0.1637,0.1298,0.4603,-0.0143
213,1.06736221909523,0.7994454713493531,0.7898703489231392,0.1565,0.1368,0.4651,-0.0086
214,1.0681809067726136,0.7963647566235367,0.7861912498936382,0.1349,0.1167,0.4348,0.0217
215,1.067633992433548,0.8009858287122612,0.7897435557631187,0.1785,0.1541,0.4821,-0.0153
216,1.0675717771053315,0.8025261860751695,0.7908978801453825,0.1669,0.1496,0.4699,-0.0101
217,1.0654616932074228,0.8019100431300061,0.7908156959456953,0.1256,0.1031,0.4339,-0.0147
218,1.0636508623758951,0.803758471965496,0.7921978899423308,0.1892,0.1526,0.4787,-0.0136
219,1.0632239480813344,0.8019100431300061,0.7906457053782788,0.1622,0.1317,0.4569,-0.0006
220,1.0592116077740987,0.8034504004929144,0.7914563113318636,0.2475,0.2130,0.5358,-0.0132
221,1.0594381550947825,0.8086876155268022,0.7971852602968982,0.2026,0.1821,0.5019,-0.0040
222,1.056742920478185,0.8102279728897104,0.7994643569981256,0.1549,0.1265,0.4478,0.0238
223,1.055812164147695,0.8142329020332717,0.8031618509564536,0.1772,0.1517,0.4817,-0.0074
224,1.0551780422528585,0.8166974738139249,0.8058937719392613,0.2119,0.1786,0.4991,-0.0142
225,1.0534656484921774,0.8179297597042514,0.8072948709139185,0.1810,0.1645,0.4875,-0.0148
226,1.054001251856486,0.8200862600123229,0.8091010245970764,0.1937,0.1584,0.4817,-0.0146
227,1.0520084977149964,0.8213185459026494,0.8102728136591044,0.1881,0.1488,0.4695,-0.0084
228,1.0504583279291788,0.8250154035736291,0.8131110752133197,0.1938,0.1759,0.4896,-0.0100
229,1.0492403229077658,0.8287122612446087,0.817270858602975,0.2566,0.2210,0.5381,-0.0099
230,1.048917112747828,0.8314849044978435,0.82094935375199,0.2058,0.1684,0.4880,-0.0138
231,1.048987740278244,0.830252618607517,0.8191706687249418,0.1798,0.1504,0.4685,-0.0091
232,1.0449249903361002,0.830252618607517,0.8195341999104387,0.2321,0.1870,0.5019,-0.0073
233,1.0442895750204721,0.8351817621688231,0.824767890409748,0.3212,0.2662,0.5775,-0.0135
234,1.0451785604159036,0.8394947627849662,0.8291106758028932,0.2507,0.2088,0.5227,-0.0151
235,1.0437054951985678,0.8398028342575478,0.8292696946903224,0.1572,0.1397,0.4522,-0.0147
236,1.0420989473660787,0.8428835489833642,0.8318903907750866,0.2169,0.1790,0.4909,-0.0103
237,1.0412015855312347,0.8434996919285275,0.8325173883800587,0.2904,0.2618,0.5631,-0.0092
238,1.0394664545853933,0.8450400492914356,0.8340897605096083,0.2053,0.1710,0.4867,-0.0151
239,1.0393261373043061,0.8471965495995071,0.8365279877494631,0.2307,0.1923,0.5036,-0.0143
240,1.0389392892519633,0.8444239063462723,0.8333910720263447,0.2055,0.1679,0.4815,-0.0154
241,1.0366914987564086,0.8471965495995071,0.836660734131209,0.1677,0.1424,0.4505,-0.0111
242,1.035419511795044,0.8499691928527419,0.8394941996575074,0.2871,0.2413,0.5547,-0.0150
243,1.0360536058743794,0.85150955021565,0.841262871957627,0.2048,0.1732,0.4754,-0.0091
244,1.034741723537445,0.8533579790511399,0.8433326777035928,0.2296,0.1950,0.4914,-0.0121
